palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
obvio sí,💯👍,"Verbos y expresiones cotidianas, muletillas y saludos",afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil,afirmacion enfatica juvenil
nel,🙅,"Verbos y expresiones cotidianas, muletillas y saludos","'no', negacion informal","'nel pastel', no rotundo informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal","'no', negacion informal"
nones,🙅‍♂️,"Verbos y expresiones cotidianas, muletillas y saludos","'no', negacion informal y juguetona",negacion infantil/informal,"'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona",negacion infantil/informal,"'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona","'no', negacion informal y juguetona"
qué va,🙅,"Verbos y expresiones cotidianas, muletillas y saludos","negacion muy comun, 'que va, hombre'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion muy comun, 'que va, hombre'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'","negacion enfatica, 'para nada'"
ni de fundas,🙅‍♀️,"Verbos y expresiones cotidianas, muletillas y saludos","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica",negacion rotunda muy usada,"'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica"
ni cagando,🚫💩,"Verbos y expresiones cotidianas, muletillas y saludos","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ 'ni en pedo', 'jamas'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ negacion enfatica vulgar, 'de ninguna manera'","⚠️ 'ni en pedo', 'jamas'","⚠️ 'ni en pedo', 'jamas'","⚠️ 'ni en pedo', 'jamas'","⚠️ negacion enfatica vulgar, 'de ninguna manera'"
ni en pedo,🚫🍺,"Verbos y expresiones cotidianas, muletillas y saludos","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria",⚠️ negacion rotunda muy usada,⚠️ negacion rotunda muy usada,"⚠️ 'de ninguna manera', ni borracho lo haria","⚠️ 'de ninguna manera', ni borracho lo haria"
ni a palos,🚫,"Verbos y expresiones cotidianas, muletillas y saludos","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica","'de ninguna manera', negacion enfatica",negacion rotunda,negacion rotunda,negacion rotunda,"'de ninguna manera', negacion enfatica"
para nada,🙅,"Verbos y expresiones cotidianas, muletillas y saludos","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'","negacion enfatica, 'en absoluto'"
o sea,💁,"Verbos y expresiones cotidianas, muletillas y saludos",muletilla tipica del habla juvenil/fresa,muletilla tipica del habla juvenil/fresa,"muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'","muletilla aclaratoria, 'es decir'"
posta,🤞,"Verbos y expresiones cotidianas, muletillas y saludos","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","'en serio', 'de verdad'","muletilla muy usada, '¿posta?' = '¿en serio?'","muletilla muy usada, '¿posta?' = '¿en serio?'","'en serio', 'de verdad'","'en serio', 'de verdad'"
en serio,😳,"Verbos y expresiones cotidianas, muletillas y saludos","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'","expresion de incredulidad o enfasis, '¿de verdad?'"
posho,🤔,"Verbos y expresiones cotidianas, muletillas y saludos","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'",variante coloquial de 'pues' en el habla rapida,"muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'","muletilla de relleno, 'pues'"
pue,🗣️,"Verbos y expresiones cotidianas, muletillas y saludos",muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,'pue' enfatico al final,'pue' enfatico al final,"'pue' o 'pe' al final de frase, muy comun","'pue' o 'pe' al final de frase, muy comun",muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase,muletilla 'pues' al final de frase
pe,🗣️,"Verbos y expresiones cotidianas, muletillas y saludos",muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,"coletilla emblematica, 'ya pe', 'oe pe'",muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase,muletilla 'pues' abreviada al final de frase
oe,🗣️👀,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'",'oe' muy comun para dirigirse a alguien,'oe' muy comun para dirigirse a alguien,'oe' muy comun para dirigirse a alguien,"interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'","interjeccion para llamar la atencion, 'oye'"
che,🗣️,"Verbos y expresiones cotidianas, muletillas y saludos","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'",muletilla y vocativo emblematico,muletilla y vocativo emblematico,muletilla y vocativo emblematico,"interjeccion para llamar la atencion o muletilla, 'oye', 'tio'","interjeccion para llamar la atencion o muletilla, 'oye', 'tio'"
loco,😜🤙,"Verbos y expresiones cotidianas, muletillas y saludos","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","'loco' como 'amigo', muy usado","vocativo informal para un amigo, 'tio', 'man'","vocativo informal para un amigo, 'tio', 'man'","'loco' como 'amigo', muy usado","'loco' como 'amigo', muy usado","'loco' como 'amigo', muy usado","vocativo informal para un amigo, 'tio', 'man'"
